iter	Passed	Remaining
193	423	1760
194	424	1754
195	426	1747
196	427	1741
197	428	1735
198	429	1729
199	430	1723
200	431	1716
201	433	1710
202	434	1705
203	440	1720
204	443	1720
205	444	1714
206	446	1711
207	448	1707
208	454	1720
209	456	1715
210	457	1710
211	458	1704
212	461	1705
213	462	1699
214	463	1692
215	464	1686
216	469	1693
217	471	1689
218	476	1700
219	479	1701
220	485	1711
221	488	1711
222	489	1705
223	490	1699
224	492	1695
225	494	1693
226	495	1687
227	496	1681
228	497	1674
229	498	1668
230	499	1662
231	500	1656
232	504	1659
233	505	1653
234	506	1650
235	508	1647
236	509	1640
237	510	1636
238	511	1629
239	512	1623
240	513	1617
241	516	1616
242	520	1619
243	520	1612
244	521	1607
245	522	1602
246	523	1597
247	525	1592
248	526	1587
249	527	1581
250	528	1577
251	529	1570
252	530	1566
253	531	1562
254	532	1556
255	533	1551
256	535	1548
257	537	1544
258	538	1540
259	540	1537
260	541	1533
261	542	1529
262	544	1524
263	545	1521
264	546	1517
265	549	1517
266	552	1516
267	554	1513
268	555	1508
269	556	1504
270	557	1500
271	558	1495
272	559	1490
273	560	1484
274	563	1484
275	565	1482
276	566	1479
277	568	1476
278	570	1474
279	572	1472
280	573	1468
281	575	1465
282	576	1461
283	578	1459
284	580	1456
285	583	1456
286	584	1451
287	585	1446
288	586	1443
289	587	1439
290	589	1435
291	590	1430
292	598	1444
293	599	1440
294	601	1436
295	602	1432
296	603	1429
297	604	1424
298	605	1420
299	606	1414
300	612	1423
301	613	1419
302	616	1417
303	618	1415
304	620	1413
305	622	1411
306	625	1413
307	626	1408
308	628	1405
309	630	1402
310	631	1398
311	632	1394
312	633	1389
313	634	1385
314	635	1382
315	637	1379
316	638	1374
317	640	1373
318	641	1369
319	642	1365
320	649	1372
321	649	1368
322	651	1364
323	652	1360
324	653	1356
325	655	1354
326	656	1350
327	656	1345
328	659	1345
329	660	1341
330	661	1337
331	662	1333
332	663	1329
333	664	1325
334	665	1321
335	666	1316
336	667	1313
337	668	1308
338	669	1304
339	670	1301
340	678	1310
341	679	1307
342	682	1307
343	684	1304
344	686	1302
345	687	1300
346	689	1296
347	690	1293
348	691	1289
349	692	1285
350	693	1281
351	694	1278
352	695	1274
353	696	1270
354	697	1266
355	697	1262
356	698	1258
357	705	1265
358	709	1266
359	710	1263
360	711	1259
361	712	1255
362	713	1251
363	714	1247
364	715	1244
365	716	1240
366	716	1236
367	717	1232
368	718	1229
369	720	1226
370	721	1222
371	722	1219
372	724	1217
373	725	1213
374	725	1209
375	729	1210
376	732	1210
377	733	1206
378	735	1205
379	736	1202
380	737	1198
381	738	1194
382	739	1192
383	741	1189
384	742	1186
385	744	1184
386	745	1180
387	746	1177
388	748	1175
389	749	1172
390	750	1169
391	752	1166
392	754	1165
393	757	1165
394	759	1163
395	763	1163
396	764	1161
397	765	1158
398	767	1155
399	768	1152
400	768	1148
401	770	1146
402	772	1143
403	773	1141
404	775	1138
405	776	1136
406	778	1133
407	783	1136
408	789	1140
409	792	1140
410	793	1137
411	795	1135
412	797	1133
413	799	1131
414	800	1128
415	801	1125
416	802	1121
417	804	1120
418	806	1118
419	808	1116
420	809	1112
421	810	1110
422	811	1107
423	812	1104
424	813	1101
425	814	1098
426	816	1095
427	817	1092
428	819	1090
429	821	1088
430	822	1086
431	825	1085
432	826	1082
433	827	1079
434	828	1076
435	829	1072
436	829	1069
437	831	1066
438	832	1063
439	833	1060
440	840	1065
441	842	1063
442	843	1060
443	845	1058
444	853	1064
445	857	1064
446	858	1062
447	859	1059
448	860	1056
449	861	1053
450	863	1051
451	867	1051
452	877	1059
453	881	1059
454	882	1056
